Guid,Name,SBQQ__Active__c,SBQQ__AdvancedCondition__c,SBQQ__ConditionsMet__c,SBQQ__ConfiguratorEvaluationEvent__c,SBQQ__EvaluationEvent__c,SBQQ__EvaluationOrder__c,SBQQ__LookupObject__c,SBQQ__TargetObject__c
dcc32307-18de-42a9-abcd-e3126ec5d3fe,Set True Discretionary Discount %,false,#N/A,All,#N/A,After Calculate,98.0,#N/A,Calculator
59b18e36-9f2a-4da2-a9d8-9467883a2e79,Set True Discretionary Discount %,false,#N/A,All,#N/A,After Calculate,98.0,#N/A,Calculator
cf9e6e95-aef7-4e67-8473-3b2c47b04c74,Config - Set Device Count,false,#N/A,All,Edit,#N/A,99.0,#N/A,Configurator
fa8d70ef-459c-4950-94c8-b86f230009e1,Set Quantity for VirusScan Mac,false,#N/A,All,Edit,Before Calculate,#N/A,#N/A,Configurator
86a81bff-b40c-414d-9a24-5d02353bb4c5,Lookup Approval Level 3 [Discount],false,#N/A,All,#N/A,On Initialization,53.0,Approval_Threshold__c,Calculator
d58b244a-9237-49a7-b29b-beaed42bb557,Lookup Approval Level 1 [Discount],false,#N/A,All,#N/A,On Initialization,50.0,Approval_Threshold__c,Calculator
c4465958-cf6d-4af5-84b0-f9ceb4230ef4,NEW PRICE RULE 3,false,#N/A,All,#N/A,On Calculate,#N/A,#N/A,Configurator
ba6f7ce9-0002-4d49-ad82-01aed871aa5d,Lookup Approval Level 3 [Discount],false,#N/A,All,#N/A,On Initialization,53.0,Approval_Threshold__c,Calculator
23cc956b-a5fd-4212-be01-fd115a081391,Config - Set Device Count,false,#N/A,All,Edit,#N/A,99.0,#N/A,Configurator
385d4fa5-d10a-41cc-8bc5-967d70b41373,Set VirusScan Device Count,false,111 AND (222 OR 333 OR 444),Custom,Save,#N/A,1.0,#N/A,Configurator
23c7af0d-4645-4937-b280-89079d124b60,Auto Renewal Uplift of 4%,false,#N/A,All,#N/A,Before Calculate,#N/A,#N/A,Calculator
5962fec3-34d3-4eb2-934f-64537faca9e2,Set Professional Services Role Rates,false,#N/A,All,#N/A,On Calculate,#N/A,Professional_Services_Rate__c,Calculator
7b2c78a1-a98e-44e6-80c1-66d3a6a1a064,Training Price Rule - deactivate,false,#N/A,All,#N/A,Before Calculate,#N/A,#N/A,Calculator
51df272f-9075-4991-acb0-62f3c4612d77,Calculate Tax at Order/Invoice,false,#N/A,All,#N/A,Before Calculate,#N/A,#N/A,Calculator
